latitude,longitude,datetime,temperature_c,humidity_pct,rainfall_mm,district
24.437,84.3353,2026-06-25T00:00,29.9,65,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T01:00,29.6,67,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T02:00,29.4,69,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T03:00,28.8,72,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T04:00,28.0,74,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T05:00,29.4,69,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T06:00,30.1,69,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T07:00,31.6,64,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T08:00,32.8,59,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T09:00,34.2,54,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T10:00,35.3,48,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T11:00,36.4,43,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T12:00,37.0,41,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T13:00,37.2,40,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T14:00,37.2,40,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T15:00,37.4,39,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T16:00,36.9,40,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T17:00,34.5,54,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T18:00,33.6,57,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T19:00,32.9,55,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T20:00,31.8,58,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T21:00,31.2,60,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T22:00,30.7,63,0.0,IND.5.10_1
24.437,84.3353,2026-06-25T23:00,30.6,65,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T00:00,29.9,69,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T01:00,29.6,70,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T02:00,29.3,70,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T03:00,29.0,71,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T04:00,28.7,71,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T05:00,28.3,75,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T06:00,27.5,84,0.2,IND.5.10_1
24.437,84.3353,2026-06-26T07:00,29.7,74,0.1,IND.5.10_1
24.437,84.3353,2026-06-26T08:00,32.0,62,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T09:00,33.3,57,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T10:00,34.5,53,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T11:00,34.9,50,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T12:00,35.5,49,0.1,IND.5.10_1
24.437,84.3353,2026-06-26T13:00,36.0,47,0.2,IND.5.10_1
24.437,84.3353,2026-06-26T14:00,36.2,45,0.1,IND.5.10_1
24.437,84.3353,2026-06-26T15:00,36.5,43,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T16:00,32.9,66,0.3,IND.5.10_1
24.437,84.3353,2026-06-26T17:00,34.0,53,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T18:00,32.6,60,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T19:00,31.0,63,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T20:00,29.9,69,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T21:00,29.5,70,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T22:00,29.0,74,0.0,IND.5.10_1
24.437,84.3353,2026-06-26T23:00,29.8,73,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T00:00,30.0,65,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T01:00,29.7,67,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T02:00,29.5,69,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T03:00,28.2,75,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T04:00,27.5,78,0.1,IND.5.10_1
24.487,84.3353,2026-06-25T05:00,29.2,69,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T06:00,30.1,69,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T07:00,31.5,64,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T08:00,32.8,60,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T09:00,34.3,53,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T10:00,35.5,47,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T11:00,36.9,41,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T12:00,37.4,40,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T13:00,37.6,39,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T14:00,37.7,39,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T15:00,37.5,38,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T16:00,37.1,38,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T17:00,35.1,50,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T18:00,34.0,55,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T19:00,33.2,54,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T20:00,32.3,57,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T21:00,31.6,58,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T22:00,30.8,63,0.0,IND.5.10_1
24.487,84.3353,2026-06-25T23:00,30.7,64,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T00:00,29.9,69,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T01:00,29.6,71,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T02:00,29.2,72,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T03:00,28.9,73,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T04:00,28.8,72,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T05:00,26.9,85,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T06:00,26.8,90,0.4,IND.5.10_1
24.487,84.3353,2026-06-26T07:00,29.2,82,0.2,IND.5.10_1
24.487,84.3353,2026-06-26T08:00,32.0,63,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T09:00,33.5,56,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T10:00,34.8,52,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T11:00,35.5,48,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T12:00,35.9,47,0.2,IND.5.10_1
24.487,84.3353,2026-06-26T13:00,36.1,46,0.2,IND.5.10_1
24.487,84.3353,2026-06-26T14:00,36.4,44,0.1,IND.5.10_1
24.487,84.3353,2026-06-26T15:00,36.4,43,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T16:00,34.3,55,0.3,IND.5.10_1
24.487,84.3353,2026-06-26T17:00,33.8,60,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T18:00,31.9,76,0.1,IND.5.10_1
24.487,84.3353,2026-06-26T19:00,31.4,64,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T20:00,30.0,68,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T21:00,29.4,72,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T22:00,29.0,76,0.0,IND.5.10_1
24.487,84.3353,2026-06-26T23:00,29.7,74,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T00:00,29.3,68,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T01:00,29.1,69,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T02:00,28.9,71,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T03:00,28.7,73,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T04:00,28.1,75,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T05:00,29.1,71,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T06:00,29.8,71,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T07:00,31.3,64,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T08:00,32.5,60,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T09:00,33.8,55,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T10:00,34.9,50,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T11:00,36.0,44,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T12:00,36.6,42,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T13:00,36.9,42,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T14:00,37.0,41,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T15:00,36.9,41,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T16:00,35.1,59,0.5,IND.5.10_1
24.387,84.3853,2026-06-25T17:00,34.0,57,0.3,IND.5.10_1
24.387,84.3853,2026-06-25T18:00,33.0,57,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T19:00,32.1,58,0.0,IND.5.10_1
24.387,84.3853,2026-06-25T20:00,31.2,60,0.0,IND.5.10_1
