dist_name_area,percent_flooded_area,parmanent_water,corrected_percent_flooded_area,district_key,dist_name_impact,human_fatality,human_injured,population,mean_flood_duration,flood_events,avg_temperature_c,avg_humidity_pct,total_rainfall_mm
Adilabad,1.209758847,0.22104424,0.988714607,adilabad,Adilabad,174,0,802880,8.0,0,,,
Agar Malwa,0.53688887,0.338892414,0.197996456,agarmalwa,Agar Malwa,2,0,702666,6.0,0,,,
Agra,4.133356464,0.10192976,4.031426704,agra,Agra,133,32,5296620,20.0,0,,,
Ahmadabad,4.222292965,0.122458085,4.09983488,ahmadabad,Ahmadabad,177,23,8738876,12.0,0,,,
Ahmadnagar,0.691347983,0.697616588,0.006268605,ahmadnagar,Ahmadnagar,50,18,5113145,4.0,0,,,
Aizawl,2.162077627,0.096288881,2.065788746,aizawl,Aizawl,154,42,483635,2.0,0,,,
Ajmer,0.260510002,0.05695381,0.203556192,ajmer,Ajmer,135,23,2985855,4.0,0,,,
Akola,0.880057177,0.274621796,0.605435381,akola,Akola,106,14,2032614,4.0,0,,,
Alappuzha,21.06652893,8.660110439,12.40641849,alappuzha,Alappuzha,170,70,2167462,5.0,0,,,
Aligarh,1.93292949,0.006094499,1.926834991,aligarh,Aligarh,97,22,4376425,24.0,0,,,
Alipurduar,4.056971682,0.017650059,4.039321623,alipurduar,Alipurduar,19,0,1381430,5.0,0,,,
Alirajpur,0.872416618,0.738663983,0.133752635,alirajpur,Alirajpur,7,0,917115,5.0,0,,,
"Almora
",0.649027255,0.000454012,0.648573243,almora,"Almora
",0,0,618943,,0,,,
Alwar,0.348076896,0.005601607,0.342475289,alwar,Alwar,102,15,4491235,14.0,0,,,
Ambala,4.251029067,0.0,4.251029067,ambala,Ambala,36,11,1296203,5.0,0,,,
Ambedkar Nagar,3.80490503,0.342207082,3.462697948,ambedkarnagar,Ambedkar Nagar,44,0,2918048,22.0,0,,,
Amethi,2.870234132,0.0,2.870234132,amethi,Amethi,49,6,3139220,21.0,0,,,
Amravati,1.132570579,0.452234552,0.680336027,amravati,Amravati,430,34,3195039,5.0,0,,,
Amreli,0.551647653,0.455725673,0.09592198,amreli,Amreli,224,10,1650731,18.0,0,,,
Amritsar,2.592469047,0.034259992,2.558209055,amritsar,Amritsar,117,21,2748187,7.0,0,,,
Amroha,3.77465624,0.02670143,3.74795481,amroha,Amroha,54,3,2208108,24.0,0,,,
Anand,5.640448142,0.236729361,5.403718781,anand,Anand,42,1,2767476,22.0,0,,,
Anantapur,0.698641838,0.216018195,0.482623643,anantapur,Anantapur,118,1,4537583,10.0,0,,,
Anantnag,0.462302357,0.159500867,0.30280149,anantnag,Anantnag,81,44,1290100,4.0,0,,,
Anjaw,1.599292296,0.251543379,1.347748917,anjaw,Anjaw,5,1,24066,5.0,0,,,
Anugul,1.964959616,1.692681852,0.272277764,anugul,Anugul,24,0,1393181,34.0,0,,,
Anuppur,0.69532992,0.16785608,0.52747384,anuppur,Anuppur,2,0,902339,9.0,0,,,
Araria,6.399493143,0.0,6.399493143,araria,Araria,162,0,3634320,23.0,0,,,
Aravalli,1.017301706,0.334042991,0.683258715,aravalli,Aravalli,39,1,1276998,24.0,0,,,
Ariyalur,2.450977499,0.08746038,2.363517119,ariyalur,Ariyalur,23,4,772923,7.0,0,,,
Arwal,22.2718737,0.595563792,21.67630991,arwal,Arwal,85,0,591972,27.0,0,,,
Ashoknagar,1.106305566,0.886532248,0.219773318,ashoknagar,Ashoknagar,6,4,1071470,6.0,0,,,
Auraiya,6.808487542,0.145826885,6.662660657,auraiya,Auraiya,46,1,1619128,24.0,0,,,
Aurangabad,2.741713494,0.192197924,2.54951557,aurangabad,Aurangabad,301,46,3160597,13.0,0,,,
Aurangabad,2.741713494,0.192197924,2.54951557,aurangabad,Aurangabad,301,46,4525057,13.0,0,,,
Aurangabad,0.75855332,0.771925606,0.013372286,aurangabad,Aurangabad,301,46,3160597,13.0,0,,,
Aurangabad,0.75855332,0.771925606,0.013372286,aurangabad,Aurangabad,301,46,4525057,13.0,0,,,
Azamgarh,6.067454778,0.055490347,6.011964431,azamgarh,Azamgarh,257,11,5177742,20.0,0,,,
Badgam,3.988476641,0.182326085,3.806150556,badgam,Badgam,51,11,992328,6.0,0,,,
Bagalkote,1.462562203,1.460163536,0.002398667,bagalkote,Bagalkote,67,4,2065589,14.0,0,,,
Bageshwar,0.57268385,0.001914048,0.570769802,bageshwar,Bageshwar,40,13,256564,2.0,0,,,
Baghpat,4.30209073,0.0,4.30209073,baghpat,Baghpat,58,0,1340897,26.0,0,,,
Bahraich,4.089125081,0.40923834,3.679886741,bahraich,Bahraich,225,32,4156731,15.0,0,,,
Baksa,3.829965692,0.097900998,3.732064694,baksa,Baksa,51,1,1258285,7.0,0,,,
Balaghat,1.159502036,0.086946009,1.072556027,balaghat,Balaghat,118,108,1884118,6.0,0,,,
Balangir,1.245116533,0.149789566,1.095326967,balangir,Balangir,25,0,2028038,32.0,0,,,
Baleshwar,12.64357177,3.878298705,8.765273065,baleshwar,Baleshwar,220,5,2513933,16.0,0,,,
Ballari,1.132672375,0.584051989,0.548620386,ballari,Ballari,147,30,2961339,8.0,0,,,
Ballia,14.2259764,0.925904877,13.30007152,ballia,Ballia,312,13,3696633,18.0,0,,,
Balod,0.692282824,0.717205888,0.024923064,balod,Balod,0,0,961306,3.0,0,,,
Baloda Bazar,3.669338228,0.368934666,3.300403562,balodabazar,Baloda Bazar,0,0,1681629,2.0,0,,,
Balrampur,0.665330167,0.022677673,0.642652494,balrampur,Balrampur,58,26,853775,20.0,0,,,
Balrampur,0.665330167,0.022677673,0.642652494,balrampur,Balrampur,58,26,2570002,20.0,0,,,
Balrampur,4.434421195,0.059511194,4.374910001,balrampur,Balrampur,58,26,853775,20.0,0,,,
Balrampur,4.434421195,0.059511194,4.374910001,balrampur,Balrampur,58,26,2570002,20.0,0,,,
Bametara,2.704068243,0.320047689,2.384020554,bametara,Bametara,3,0,909116,2.0,0,,,
Banas Kantha,0.684661264,0.116877662,0.567783602,banaskantha,Banas Kantha,109,2,3729629,18.0,0,,,
Banda,6.835722082,0.522039626,6.313682456,banda,Banda,87,4,2069729,22.0,0,,,
Bandipore,2.552861234,0.616409408,1.936451826,bandipore,Bandipore,30,4,378179,7.0,0,,,
Bangalore,0.342520348,0.227953363,0.114566985,bangalore,Bangalore,75,37,13403998,6.0,0,,,
Banka,2.03422427,0.348262775,1.685961495,banka,Banka,120,0,2787874,26.0,0,,,
Bankura,1.837666654,0.435897763,1.401768891,bankura,Bankura,203,26,3957405,35.0,0,,,
Banswara,0.908342871,0.925230196,0.016887325,banswara,Banswara,72,8,2229890,17.0,0,,,
Bara Banki,3.016814521,0.151297728,2.865516793,barabanki,Bara Banki,202,10,3807867,13.0,0,,,
Baramula,1.128824654,0.217682121,0.911142533,baramula,Baramula,75,39,1224436,5.0,0,,,
Baran,2.698445577,0.273336329,2.425109248,baran,Baran,43,4,1450001,19.0,0,,,
Bareilly,4.170101962,0.0,4.170101962,bareilly,Bareilly,85,7,5352228,19.0,0,,,
Bargarh,1.309118184,1.345216816,0.036098632,bargarh,Bargarh,139,0,1562701,24.0,0,,,
Barmer,0.88895207,0.014956261,0.873995809,barmer,Barmer,85,8,3345308,20.0,0,,,
Barnala,1.6671773,0.0,1.6671773,barnala,Barnala,6,0,684088,7.0,0,,,
Barpeta,13.96647843,3.478605956,10.48787247,barpeta,Barpeta,159,5,1877307,9.0,0,,,
Barwani,0.86377453,0.58771354,0.27606099,barwani,Barwani,7,10,1771460,6.0,0,,,
Bastar,1.887109361,0.254405482,1.632703879,bastar,Bastar,9,38,948753,4.0,0,,,
Basti,4.958766648,0.322726847,4.636039801,basti,Basti,188,14,2718480,19.0,0,,,
Bathinda,4.083232034,0.018454025,4.064778009,bathinda,Bathinda,24,5,1697487,7.0,0,,,
Baudh,2.608651472,0.899336006,1.709315466,baudh,Baudh,30,0,520532,32.0,0,,,
Begusarai,21.87259266,1.072873296,20.79971936,begusarai,Begusarai,126,10,3830215,22.0,0,32.34025821596244,67.11384976525821,173.8
Belagavi,1.274110942,0.55806105,0.716049892,belagavi,Belagavi,63,2,5439561,6.0,0,,,
