latitude,longitude,datetime,temperature_c,humidity_pct,rainfall_mm,district,rainfall_6h_mm,rainfall_24h_mm,temperature_6h_avg,heat_risk,rainfall_risk,date,hour,rainfall_30d_mm,spi_30,drought_risk,heat_index_c
24.337,84.4353,2026-06-25 00:00:00,29.1,69,0.0,IND.5.10_1,0.0,0.0,29.1,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,32.757875766497754
24.337,84.4853,2026-06-25 00:00:00,29.3,67,0.0,IND.5.10_1,0.0,0.0,29.3,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,32.804227674035616
24.387,84.3853,2026-06-25 00:00:00,29.3,68,0.0,IND.5.10_1,0.0,0.0,29.3,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,32.99739132330451
24.387,84.4353,2026-06-25 00:00:00,29.1,69,0.0,IND.5.10_1,0.0,0.0,29.1,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,32.757875766497754
24.387,84.4853,2026-06-25 00:00:00,29.3,67,0.0,IND.5.10_1,0.0,0.0,29.3,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,32.804227674035616
24.387,84.53529999999999,2026-06-25 00:00:00,29.3,67,0.0,IND.5.10_1,0.0,0.0,29.3,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,32.804227674035616
24.387,84.93529999999997,2026-06-25 00:00:00,29.0,68,0.0,IND.5.10_1,0.0,0.0,29.0,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,32.36288366844436
24.387,85.08529999999996,2026-06-25 00:00:00,28.6,67,0.0,IND.5.10_1,0.0,0.0,28.6,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,31.394054377475655
24.437,84.3353,2026-06-25 00:00:00,29.9,65,0.0,IND.5.10_1,0.0,0.0,29.9,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,33.6674936644711
24.437,84.3853,2026-06-25 00:00:00,29.5,67,0.0,IND.5.10_1,0.0,0.0,29.5,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,33.22869803355555
24.437,84.4353,2026-06-25 00:00:00,29.5,67,0.0,IND.5.10_1,0.0,0.0,29.5,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,33.22869803355555
24.437,84.4853,2026-06-25 00:00:00,29.4,67,0.0,IND.5.10_1,0.0,0.0,29.4,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,33.015264870275686
24.437,84.53529999999999,2026-06-25 00:00:00,29.4,67,0.0,IND.5.10_1,0.0,0.0,29.4,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,33.015264870275686
24.437,84.58529999999999,2026-06-25 00:00:00,29.6,67,0.0,IND.5.10_1,0.0,0.0,29.6,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,33.444527163875655
24.437,84.63529999999999,2026-06-25 00:00:00,29.6,67,0.0,IND.5.10_1,0.0,0.0,29.6,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,33.444527163875655
24.437,84.88529999999997,2026-06-25 00:00:00,30.0,65,0.0,IND.5.10_1,0.0,0.0,30.0,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,33.882145611111156
24.437,84.93529999999997,2026-06-25 00:00:00,30.0,65,0.0,IND.5.10_1,0.0,0.0,30.0,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,33.882145611111156
24.437,84.98529999999997,2026-06-25 00:00:00,29.7,64,0.0,IND.5.10_1,0.0,0.0,29.7,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,33.04226243793564
24.437,85.03529999999996,2026-06-25 00:00:00,29.7,64,0.0,IND.5.10_1,0.0,0.0,29.7,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,33.04226243793564
24.437,85.08529999999996,2026-06-25 00:00:00,29.5,64,0.0,IND.5.10_1,0.0,0.0,29.5,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,32.6394529810555
24.437,85.13529999999996,2026-06-25 00:00:00,29.5,64,0.0,IND.5.10_1,0.0,0.0,29.5,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,32.6394529810555
24.487,84.3353,2026-06-25 00:00:00,30.0,65,0.0,IND.5.10_1,0.0,0.0,30.0,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,33.882145611111156
24.487,84.3853,2026-06-25 00:00:00,29.5,67,0.0,IND.5.10_1,0.0,0.0,29.5,Low,Low,2026-06-25,0,456.8,-0.7071067811865476,Normal,33.22869803355555
